Day,RiseTime,SetTime
1/1/2021,8.732,15.927
2/1/2021,8.727,15.947
3/1/2021,8.722,15.969
4/1/2021,8.715,15.991
5/1/2021,8.707,16.014
6/1/2021,8.698,16.039
7/1/2021,8.687,16.063
8/1/2021,8.676,16.089
9/1/2021,8.664,16.115
10/1/2021,8.651,16.142
11/1/2021,8.637,16.170
12/1/2021,8.621,16.199
13/1/2021,8.605,16.228
14/1/2021,8.588,16.257
15/1/2021,8.570,16.287
16/1/2021,8.551,16.318
17/1/2021,8.531,16.349
18/1/2021,8.510,16.381
19/1/2021,8.489,16.413
20/1/2021,8.466,16.445
21/1/2021,8.443,16.478
22/1/2021,8.419,16.511
23/1/2021,8.395,16.545
24/1/2021,8.369,16.579
25/1/2021,8.343,16.613
26/1/2021,8.316,16.647
27/1/2021,8.288,16.682
28/1/2021,8.260,16.717
29/1/2021,8.231,16.751
30/1/2021,8.201,16.787
31/1/2021,8.171,16.822
1/2/2021,8.141,16.857
2/2/2021,8.109,16.893
3/2/2021,8.077,16.929
4/2/2021,8.045,16.964
5/2/2021,8.012,17.000
6/2/2021,7.979,17.036
7/2/2021,7.945,17.072
8/2/2021,7.910,17.108
9/2/2021,7.876,17.144
10/2/2021,7.840,17.180
11/2/2021,7.805,17.216
12/2/2021,7.769,17.252
13/2/2021,7.732,17.288
14/2/2021,7.695,17.324
15/2/2021,7.658,17.359
16/2/2021,7.620,17.395
17/2/2021,7.582,17.431
18/2/2021,7.544,17.467
19/2/2021,7.506,17.502
20/2/2021,7.467,17.538
21/2/2021,7.428,17.573
22/2/2021,7.388,17.608
23/2/2021,7.348,17.644
24/2/2021,7.308,17.679
25/2/2021,7.268,17.714
26/2/2021,7.228,17.749
27/2/2021,7.187,17.784
28/2/2021,7.146,17.819
1/3/2021,7.105,17.853
2/3/2021,7.064,17.888
3/3/2021,7.022,17.923
4/3/2021,6.981,17.957
5/3/2021,6.939,17.992
6/3/2021,6.897,18.026
7/3/2021,6.855,18.060
8/3/2021,6.813,18.095
9/3/2021,6.770,18.129
10/3/2021,6.728,18.163
11/3/2021,6.685,18.197
12/3/2021,6.643,18.231
13/3/2021,6.600,18.265
14/3/2021,6.557,18.298
15/3/2021,6.514,18.332
16/3/2021,6.471,18.366
17/3/2021,6.428,18.399
18/3/2021,6.385,18.433
19/3/2021,6.342,18.467
20/3/2021,6.299,18.500
21/3/2021,6.256,18.533
22/3/2021,6.212,18.567
